Año,Trimestre,Provincia,Accesos telefonía fija (total),Accesos telefonía fija (otros)
2022,1,Buenos Aires,3340707.0,50744.0
2022,1,Capital Federal,1508031.0,22907.0
2022,1,Catamarca,30167.0,458.0
2022,1,Chaco,84847.0,1289.0
2022,1,Chubut,72602.0,1103.0
2022,1,Córdoba,579744.0,8806.0
2022,1,Corrientes,88953.0,1351.0
2022,1,Entre Ríos,189649.0,2881.0
2022,1,Formosa,33824.0,514.0
2022,1,Jujuy,48709.0,740.0
2022,1,La Pampa,72052.0,1094.0
2022,1,La Rioja,27504.0,418.0
2022,1,Mendoza,196157.0,2980.0
2022,1,Misiones,91333.0,1387.0
2022,1,Neuquén,74114.0,1126.0
2022,1,Río Negro,83067.0,1262.0
2022,1,Salta,109105.0,1657.0
2022,1,San Juan,74775.0,1136.0
2022,1,San Luis,34398.0,522.0
2022,1,Santa Cruz,26956.0,409.0
2022,1,Santa Fe,629111.0,9556.0
2022,1,Santiago del Estero,67522.0,1026.0
2022,1,Tierra del Fuego,21573.0,328.0
2022,1,Tucumán,185032.0,2811.0
2021,4,Buenos Aires,3313370.0,51980.0
2021,4,Capital Federal,1439097.0,22576.0
2021,4,Catamarca,29635.0,465.0
2021,4,Chaco,90829.0,1425.0
2021,4,Chubut,68209.0,1070.0
2021,4,Córdoba,583715.0,9157.0
2021,4,Corrientes,97971.0,1537.0
2021,4,Entre Ríos,207536.0,3256.0
2021,4,Formosa,36411.0,571.0
2021,4,Jujuy,44258.0,694.0
2021,4,La Pampa,71751.0,1126.0
2021,4,La Rioja,26765.0,420.0
2021,4,Mendoza,204522.0,3209.0
2021,4,Misiones,98622.0,1547.0
2021,4,Neuquén,72616.0,1139.0
2021,4,Río Negro,86287.0,1354.0
2021,4,Salta,120291.0,1887.0
2021,4,San Juan,66631.0,1045.0
2021,4,San Luis,33020.0,518.0
2021,4,Santa Cruz,27740.0,435.0
2021,4,Santa Fe,655796.0,10288.0
2021,4,Santiago del Estero,66649.0,1046.0
2021,4,Tierra del Fuego,18937.0,297.0
2021,4,Tucumán,165702.0,2600.0
2021,3,Buenos Aires,3164518.0,54601.0
2021,3,Capital Federal,1367485.0,23595.0
2021,3,Catamarca,24683.0,426.0
2021,3,Chaco,73770.0,1273.0
2021,3,Chubut,73086.0,1261.0
2021,3,Córdoba,484017.0,8351.0
2021,3,Corrientes,78053.0,1347.0
2021,3,Entre Ríos,164023.0,2830.0
2021,3,Formosa,30471.0,526.0
2021,3,Jujuy,35160.0,607.0
2021,3,La Pampa,71728.0,1238.0
2021,3,La Rioja,21614.0,373.0
2021,3,Mendoza,196028.0,3382.0
2021,3,Misiones,78868.0,1361.0
2021,3,Neuquén,74203.0,1280.0
2021,3,Río Negro,83724.0,1445.0
2021,3,Salta,93818.0,1619.0
2021,3,San Juan,74837.0,1291.0
2021,3,San Luis,34431.0,594.0
2021,3,Santa Cruz,26961.0,465.0
2021,3,Santa Fe,539814.0,9314.0
2021,3,Santiago del Estero,57376.0,990.0
2021,3,Tierra del Fuego,21573.0,372.0
2021,3,Tucumán,133062.0,2296.0
2021,2,Buenos Aires,3313370.0,51980.0
2021,2,Capital Federal,1439097.0,22576.0
2021,2,Catamarca,29635.0,465.0
2021,2,Chaco,90829.0,1425.0
2021,2,Chubut,68209.0,1070.0
2021,2,Córdoba,583715.0,9157.0
2021,2,Corrientes,97971.0,1537.0
2021,2,Entre Ríos,207536.0,3256.0
2021,2,Formosa,36411.0,571.0
2021,2,Jujuy,44258.0,694.0
2021,2,La Pampa,71751.0,1126.0
2021,2,La Rioja,26765.0,420.0
2021,2,Mendoza,204522.0,3209.0
2021,2,Misiones,98622.0,1547.0
2021,2,Neuquén,72616.0,1139.0
2021,2,Río Negro,86287.0,1354.0
2021,2,Salta,120291.0,1887.0
2021,2,San Juan,66631.0,1045.0
2021,2,San Luis,33020.0,518.0
2021,2,Santa Cruz,27740.0,435.0
2021,2,Santa Fe,655796.0,10288.0
2021,2,Santiago del Estero,66649.0,1046.0
2021,2,Tierra del Fuego,18937.0,297.0
2021,2,Tucumán,165702.0,2600.0
2021,1,Buenos Aires,3203761.0,66500.0
2021,1,Capital Federal,1395627.0,28969.0
2021,1,Catamarca,26597.0,552.0
2021,1,Chaco,75834.0,1574.0
2021,1,Chubut,73068.0,1517.0
2021,1,Córdoba,523748.0,10871.0
2021,1,Corrientes,78850.0,1637.0
2021,1,Entre Ríos,168446.0,3496.0
2021,1,Formosa,31265.0,649.0
2021,1,Jujuy,42953.0,892.0
2021,1,La Pampa,71152.0,1477.0
2021,1,La Rioja,24254.0,503.0
2021,1,Mendoza,196315.0,4075.0
2021,1,Misiones,82076.0,1704.0
2021,1,Neuquén,74404.0,1544.0
2021,1,Río Negro,82669.0,1716.0
2021,1,Salta,96214.0,1997.0
2021,1,San Juan,74837.0,1553.0
2021,1,San Luis,34431.0,715.0
2021,1,Santa Cruz,26930.0,559.0
2021,1,Santa Fe,570118.0,11834.0
2021,1,Santiago del Estero,62157.0,1290.0
2021,1,Tierra del Fuego,21573.0,448.0
2021,1,Tucumán,163185.0,3387.0
2020,4,Buenos Aires,3232457.0,56709.0
2020,4,Capital Federal,1423882.0,24980.0
2020,4,Catamarca,33525.0,588.0
2020,4,Chaco,81113.0,1423.0
2020,4,Chubut,73019.0,1281.0
2020,4,Córdoba,535102.0,9388.0
2020,4,Corrientes,85319.0,1497.0
2020,4,Entre Ríos,178988.0,3140.0
2020,4,Formosa,34057.0,597.0
2020,4,Jujuy,45686.0,801.0
2020,4,La Pampa,70628.0,1239.0
2020,4,La Rioja,29306.0,514.0
2020,4,Mendoza,196388.0,3445.0
2020,4,Misiones,85762.0,1505.0
2020,4,Neuquén,74546.0,1308.0
2020,4,Río Negro,84513.0,1483.0
2020,4,Salta,101610.0,1783.0
2020,4,San Juan,74837.0,1313.0
2020,4,San Luis,34431.0,604.0
2020,4,Santa Cruz,27239.0,478.0
2020,4,Santa Fe,592374.0,10392.0
2020,4,Santiago del Estero,66338.0,1164.0
2020,4,Tierra del Fuego,21573.0,378.0
2020,4,Tucumán,181343.0,3181.0
2020,3,Buenos Aires,3233324.0,61547.0
2020,3,Capital Federal,1433000.0,27277.0
2020,3,Catamarca,33596.0,640.0
2020,3,Chaco,82542.0,1571.0
2020,3,Chubut,72950.0,1389.0
2020,3,Córdoba,549383.0,10458.0
2020,3,Corrientes,86349.0,1644.0
2020,3,Entre Ríos,181304.0,3451.0
2020,3,Formosa,34864.0,664.0
2020,3,Jujuy,46331.0,882.0
2020,3,La Pampa,70536.0,1343.0
2020,3,La Rioja,29404.0,560.0
2020,3,Mendoza,196383.0,3738.0
2020,3,Misiones,88884.0,1692.0
2020,3,Neuquén,74481.0,1418.0
2020,3,Río Negro,85239.0,1623.0
2020,3,Salta,103159.0,1964.0
2020,3,San Juan,74844.0,1425.0
2020,3,San Luis,34436.0,656.0
2020,3,Santa Cruz,27279.0,519.0
2020,3,Santa Fe,624379.0,11885.0
2020,3,Santiago del Estero,66338.0,1263.0
2020,3,Tierra del Fuego,21573.0,411.0
2020,3,Tucumán,181967.0,3464.0
2020,2,Buenos Aires,3232457.0,56709.0
2020,2,Capital Federal,1423882.0,24980.0
2020,2,Catamarca,33525.0,588.0
2020,2,Chaco,81113.0,1423.0
2020,2,Chubut,73019.0,1281.0
2020,2,Córdoba,535102.0,9388.0
2020,2,Corrientes,85319.0,1497.0
2020,2,Entre Ríos,178988.0,3140.0
2020,2,Formosa,34057.0,597.0
2020,2,Jujuy,45686.0,801.0
2020,2,La Pampa,70628.0,1239.0
2020,2,La Rioja,29306.0,514.0
2020,2,Mendoza,196388.0,3445.0
2020,2,Misiones,85762.0,1505.0
2020,2,Neuquén,74546.0,1308.0
2020,2,Río Negro,84513.0,1483.0
2020,2,Salta,101610.0,1783.0
2020,2,San Juan,74837.0,1313.0
2020,2,San Luis,34431.0,604.0
2020,2,Santa Cruz,27239.0,478.0
2020,2,Santa Fe,592374.0,10392.0
2020,2,Santiago del Estero,66338.0,1164.0
2020,2,Tierra del Fuego,21573.0,378.0
2020,2,Tucumán,181343.0,3181.0
2020,1,Buenos Aires,3261264.0,59561.0
2020,1,Capital Federal,1456196.0,26595.0
2020,1,Catamarca,29743.0,543.0
2020,1,Chaco,84041.0,1535.0
2020,1,Chubut,78692.0,1437.0
2020,1,Córdoba,574075.0,10484.0
2020,1,Corrientes,87649.0,1601.0
2020,1,Entre Ríos,186835.0,3412.0
